year,Very Negative Sentiment,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Very Positive Sentiment
2010,54.90196078431373,3.9215686274509802,11.76470588235294,17.647058823529413,11.76470588235294
2011,55.952380952380956,5.555555555555555,15.476190476190476,15.476190476190476,7.5396825396825395
2012,64.02266288951841,5.099150141643059,12.464589235127479,8.78186968838527,9.631728045325778
2013,62.839248434237994,5.219206680584551,12.10855949895616,8.559498956158663,11.273486430062631
2014,62.54612546125461,5.904059040590406,11.808118081180812,10.885608856088561,8.856088560885608
2015,70.90694935217904,3.0624263839811543,10.011778563015312,7.538280329799764,8.480565371024735
2016,68.22660098522168,3.8177339901477834,11.69950738916256,8.497536945812808,7.758620689655173
2017,73.25268817204301,4.435483870967742,9.67741935483871,8.333333333333332,4.301075268817205
2018,70.33285094066571,3.4732272069464547,10.85383502170767,8.972503617945007,6.367583212735166
2019,71.09375,4.296875,8.984375,10.286458333333332,5.338541666666666
